antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Indie - G', 'Casual - G'})",frozenset({'Strategy - G'}),0.29466297322253,0.1937950138504155,0.05843028624192059,0.19829531210829784,1.0232219507017657,0.001326071265055781,1.0056134114292348
frozenset({'Strategy - G'}),"frozenset({'Indie - G', 'Casual - G'})",0.1937950138504155,0.29466297322253,0.05843028624192059,0.3015056222603393,1.0232219507017657,0.001326071265055781,1.0097962836293002
frozenset({'Indie - G'}),"frozenset({'Strategy - G', 'Casual - G'})",0.7173037857802401,0.07072945521698984,0.05843028624192059,0.0814582153339169,1.1516873003476762,0.0076957802485998275,1.0116802091053783
frozenset({'Casual - G'}),"frozenset({'Strategy - G', 'Indie - G'})",0.3771006463527239,0.13551246537396122,0.05843028624192059,0.15494613124387857,1.143408695401475,0.007328447960548698,1.0229969550917775
"frozenset({'Adventure - G', 'Casual - G'})",frozenset({'Indie - G'}),0.13163434903047092,0.7173037857802401,0.10060941828254848,0.7643097643097643,1.0655314797737947,0.006187601384274211,1.199439651760981
frozenset({'Indie - G'}),"frozenset({'Adventure - G', 'Casual - G'})",0.7173037857802401,0.13163434903047092,0.10060941828254848,0.14026054271149785,1.0655314797737947,0.006187601384274211,1.0100334974833338
"frozenset({'Adventure - G', 'RPG - G'})",frozenset({'Indie - G'}),0.08901200369344414,0.7173037857802401,0.07438596491228071,0.8356846473029046,1.1650358800126739,0.010537317683088507,1.720449182499044
"frozenset({'Adventure - G', 'Indie - G'})",frozenset({'RPG - G'}),0.2815512465373961,0.15922437673130194,0.07438596491228071,0.26420044601862785,1.6592964685581881,0.02955614316444268,1.142669384235565
"frozenset({'RPG - G', 'Indie - G'})",frozenset({'Adventure - G'}),0.11874422899353647,0.3705263157894737,0.07438596491228071,0.626438569206843,1.6906722748480139,0.030388103222044036,1.68506069503484
frozenset({'Adventure - G'}),"frozenset({'RPG - G', 'Indie - G'})",0.3705263157894737,0.11874422899353647,0.07438596491228071,0.20075757575757577,1.6906722748480139,0.030388103222044036,1.102613855666855
frozenset({'RPG - G'}),"frozenset({'Adventure - G', 'Indie - G'})",0.15922437673130194,0.2815512465373961,0.07438596491228071,0.4671769890976572,1.6592964685581884,0.02955614316444268,1.3483816178394799
frozenset({'Indie - G'}),"frozenset({'Adventure - G', 'RPG - G'})",0.7173037857802401,0.08901200369344414,0.07438596491228071,0.10370217805468308,1.1650358800126739,0.010537317683088507,1.0163898360584604
"frozenset({'Simulation - G', 'Indie - G'})",frozenset({'Casual - G'}),0.13100646352723916,0.3771006463527239,0.06555863342566944,0.5004228925852833,1.327027406145597,0.016156011353163004,1.2468532773063703
"frozenset({'Simulation - G', 'Casual - G'})",frozenset({'Indie - G'}),0.08380424746075715,0.7173037857802401,0.06555863342566944,0.7822829440282063,1.0905880598096742,0.005445529457604258,1.2984569029648487
"frozenset({'Indie - G', 'Casual - G'})",frozenset({'Simulation - G'}),0.29466297322253,0.19183748845798707,0.06555863342566944,0.2224868388067185,1.159767262358857,0.009031228701096183,1.0394197190201804
frozenset({'Simulation - G'}),"frozenset({'Indie - G', 'Casual - G'})",0.19183748845798707,0.29466297322253,0.06555863342566944,0.3417404697728148,1.159767262358857,0.009031228701096183,1.0715181389535475
frozenset({'Indie - G'}),"frozenset({'Simulation - G', 'Casual - G'})",0.7173037857802401,0.08380424746075715,0.06555863342566944,0.09139591164203696,1.0905880598096742,0.005445529457604258,1.0083553048886227
frozenset({'Casual - G'}),"frozenset({'Simulation - G', 'Indie - G'})",0.3771006463527239,0.13100646352723916,0.06555863342566944,0.17384916748285995,1.327027406145597,0.016156011353163004,1.051858210715695
